1b620,"6.3"
1b1fb,"aeiouy"
1b210,"bcdfghklmnpqrstvwxz"
1b210,"bcdfghklmnpqrstvwxz"
1b1fb,"aeiouy"
1b210,"bcdfghklmnpqrstvwxz"
1b1fb,"aeiouy"
1b210,"bcdfghklmnpqrstvwxz"
1b5a8,".exe"
1b5ad,".dll"
1b5a8,".exe"
1b368,".dll"
1b364,"/%s"
1b36d,"msiexec.exe"
1b108,"kernel32.dll"
1b6f0,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
1b334,"*/*"
1b338,"GET"
1b33c,"POST"
1b341,"HTTP/1.1"
1b350,"Connection: close\n"
1b2e0,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET4.0E)"
