2225a,"Global\"
2226a,"Local\"
22280,"S:(ML;;NRNWNX;;;LW)"
222b0,"SeSecurityPrivilege"
222e0,"S:(ML;CIOI;NRNWNX;;;LW)"
22280,"S:(ML;;NRNWNX;;;LW)"
223e0,"Software\Microsoft\"
223e0,"Software\Microsoft\"
223e0,"Software\Microsoft\"
22412,".exe"
22420,"Software\Microsoft"
224fc,"UNKNOWN"
22510,"Software\Microsoft\Windows NT\CurrentVersion"
22570,"InstallDate"
22510,"Software\Microsoft\Windows NT\CurrentVersion"
22590,"DigitalProductId"
225c0,"%s_%08X%08X"
225e0,"INVALID_BOT_ID"
22450,"rundll32.exe %s,DllRegisterServer"
224a0,"Software\Microsoft\Windows\CurrentVersion\Run"
224a0,"Software\Microsoft\Windows\CurrentVersion\Run"
22408,".dll"
22412,".exe"
22412,".exe"
225fe," >> "
22620,"C:\Windows\SystemApps\*"
22650,"Microsoft.MicrosoftEdge"
22420,"Software\Microsoft"
22420,"Software\Microsoft"
226b0,"Proxifier.exe"
